"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000231426",-4.03317346688316,-6.43896742927483,-5.84334293552551,1.78054227863877e-07,0.00657989351451089,5.000751719581
"ENSG00000107731",-7.18565249927935,-2.09702035143012,-5.66560523116322,3.57572602656773e-07,0.00657989351451089,5.62700862112081
"ENSG00000211911",5.87913906386313,-4.67529133223221,5.58424280002353,4.91012400963451e-07,0.00657989351451089,5.48644950786435
"ENSG00000150540",-2.44167118203536,2.42239155582531,-5.07997553006847,3.39014975104781e-06,0.034072700072906,4.27492492970457
"ENSG00000115380",-4.59859560558647,-6.31586575471875,-5.01168045699948,4.38234894406842e-06,0.0352358384498877,2.90284356235213
"ENSG00000110077",-1.50757584803226,6.73637690322315,-4.84157727532371,8.25768420409172e-06,0.0474250600532708,2.97124300723291
